Tarea,Algoritmo,Accuracy,Sensibilidad,Especificidad,F1
1,LR,0.6857,0.6667,0.7059,0.6857
1,XGB,0.6286,0.6111,0.6471,0.6286
1,DT,0.5143,0.6111,0.4118,0.5641
1,RF,0.7429,0.7222,0.7647,0.7429
1,kNN,0.6571,0.6111,0.7059,0.6471
1,SVM,0.6286,0.5556,0.7059,0.6061
1,GNB,0.5429,0.6667,0.4118,0.6
1,LDA,0.5714,0.6667,0.4706,0.6154
1,MLP,0.6,0.5556,0.6471,0.5882
1,LVQ,0.5429,0.4444,0.6471,0.5
2,LR,0.6857,0.6667,0.7059,0.6857
2,XGB,0.5714,0.5,0.6471,0.5455
2,DT,0.6286,0.6111,0.6471,0.6286
2,RF,0.6571,0.5,0.8235,0.6
2,kNN,0.6286,0.5556,0.7059,0.6061
2,SVM,0.6,0.5,0.7059,0.5625
2,GNB,0.6571,0.5,0.8235,0.6
2,LDA,0.6857,0.6111,0.7647,0.6667
2,MLP,0.7429,0.7222,0.7647,0.7429
2,LVQ,0.6571,0.5556,0.7647,0.625
3,LR,0.6857,0.6111,0.7647,0.6667
3,XGB,0.7429,0.7222,0.7647,0.7429
3,DT,0.6286,0.7222,0.5294,0.6667
3,RF,0.7143,0.6111,0.8235,0.6875
3,kNN,0.7143,0.6667,0.7647,0.7059
3,SVM,0.6857,0.5556,0.8235,0.6452
3,GNB,0.6286,0.5,0.7647,0.5806
3,LDA,0.7143,0.6111,0.8235,0.6875
3,MLP,0.8286,0.7778,0.8824,0.8235
3,LVQ,0.6571,0.5556,0.7647,0.625
4,LR,0.7143,0.5556,0.8824,0.6667
4,XGB,0.6857,0.6111,0.7647,0.6667
4,DT,0.6286,0.6111,0.6471,0.6286
4,RF,0.6571,0.5,0.8235,0.6
4,kNN,0.7143,0.5,0.9412,0.6429
4,SVM,0.6857,0.5556,0.8235,0.6452
4,GNB,0.6857,0.5,0.8824,0.6207
4,LDA,0.6286,0.4444,0.8235,0.5517
4,MLP,0.5714,0.5556,0.5882,0.5714
4,LVQ,0.6286,0.4444,0.8235,0.5517
5,LR,0.6857,0.6667,0.7059,0.6857
5,XGB,0.7429,0.7778,0.7059,0.7568
5,DT,0.5714,0.4444,0.7059,0.5161
5,RF,0.7714,0.7778,0.7647,0.7778
5,kNN,0.7429,0.6111,0.8824,0.7097
5,SVM,0.7429,0.6667,0.8235,0.7273
5,GNB,0.7143,0.6111,0.8235,0.6875
5,LDA,0.7143,0.6667,0.7647,0.7059
5,MLP,0.7714,0.7778,0.7647,0.7778
5,LVQ,0.6286,0.3889,0.8824,0.5185
